created_at,screen_name,tweet_text,time_zone
Sun Apr 08 16:36:21 +0000 2018,sushriya44,RT @rpsingh: Unreal effort from @DJBravo47 tonight. The @IPL is back and how! Thoroughly enjoyed the first game. Congratulations @ChennaiIP,Asia/Calcutta
Sun Apr 08 16:36:23 +0000 2018,Rohit_jii16,"#MIvCSK
#_
    -              https://t.co/EBCF5Vl6dB",
Sun Apr 08 16:36:27 +0000 2018,Devendrakewat11,"RT @Sarvgya1: #MIvCSK 
# 
  4  25  30             ,  ",
Sun Apr 08 16:36:28 +0000 2018,JayantiKhamari,"RT @RavidasPatil:  
 4    
      
   

    

   ",
Sun Apr 08 16:36:34 +0000 2018,HariomDass9,"RT @Sarvgya1: #MIvCSK 
# 
  4  25  30             ,  ",
Sun Apr 08 16:36:37 +0000 2018,Rkm8284,"RT @AdiBurge: #MIvCSK 
# 
  4  25  30             ,  ",
Sun Apr 08 16:36:44 +0000 2018,VgDaula,RT @HJSMumbai: #MiraBhayandar Mahanagar Palika has planned to demolish 75 yrs old Ganesh Temple in Bhayandar west...  If Hindus still waste,
Sun Apr 08 16:36:44 +0000 2018,imAbhishrma,Winning Celebrations!!!  In the Yesterday's Match It Was a Terrific Match Hats off to @DJBravo47 &amp; @JadhavKedar https://t.co/LsZKYaUzs4,
Sun Apr 08 16:36:52 +0000 2018,prem98181405,"RT @arc366201: #MIvCSK
    
    ,
    !
      ,
      !!",
Sun Apr 08 16:36:53 +0000 2018,Narendradas19,"RT @AdiBurge: #MIvCSK 
# 
  4  25  30             ,  ",
Sun Apr 08 16:37:00 +0000 2018,iGreekGod,RT @rishumitra: Hrithik Roshan set the stage on fire! What scintillating performances by the Bollywood superstars! IPL begins Let the cr,
Sun Apr 08 16:37:01 +0000 2018,FsSnot,"RT @DasSahabdeen: #MIvCSK
#
 , ,                
",
Sun Apr 08 16:37:01 +0000 2018,BalkawadeRahul,"RT @ShwetaS13301723: CSK is back 
Congratulations 


#MIvCSK",
Sun Apr 08 16:37:02 +0000 2018,Rajasthanteam,RT @SunielVShetty: Mumbaiiiiiiiii Mumbaiiiiiii @mipaltan #MIvCSK,
Sun Apr 08 16:37:03 +0000 2018,Narendradas19,"RT @Gurugov38113652: #MIvCSK 
#
                 
  ",
Sun Apr 08 16:37:12 +0000 2018,Devendrakewat11,"RT @Nakuldev20: #MIvCSK 
# 
    16   23                ",
Sun Apr 08 16:37:13 +0000 2018,NeerajK905627,"RT @kaber508:            
 . #SalmanGetsBail      
#MIvCSK     http",
Sun Apr 08 16:37:25 +0000 2018,masudur02219820,"RT @mipaltan: ""We have the Hitman!"" 

No prizes for guessing what the Paltan has predicted for #MIvCSK 

#CricketMeriJaan https://t.co/2O",
Sun Apr 08 16:37:26 +0000 2018,Geetanjalikahar,"RT @Pradeep50346064: #MIvCSK
#
  16  23             ",
Sun Apr 08 16:37:28 +0000 2018,GuddiMeena9,"RT @Pradeep40825190: #MIvCSK
    2/26-30        6         ",
Sun Apr 08 16:37:28 +0000 2018,NeerajK905627,"RT @REALRAMKABER:            
 . #SalmanGetsBail      
#MIvCSK    ",
Sun Apr 08 16:37:34 +0000 2018,masudur02219820,"RT @mipaltan: Rohit goes for another biggie, but mistimes one straight up. Rayudu completes the catch. 

#CricketMeriJaan #MIvCSK #MI",
Sun Apr 08 16:37:35 +0000 2018,NeerajK905627,"RT @TweetFAN0:            
 . #SalmanGetsBail      
#MIvCSK     htt",
Sun Apr 08 16:37:35 +0000 2018,NirajBhakt,"RT @DasiSulekha: #MIvCSK
       4  32          "":",
Sun Apr 08 16:37:37 +0000 2018,Narendradas19,"RT @AdiBurge: #MIvCSK 
#
                 
   ",
Sun Apr 08 16:37:39 +0000 2018,masudur02219820,"RT @mipaltan: CSK - 139/8, 18 overs

20 runs from that McClenaghan over brings the game back to life! Bravo the key here. 

#CricketMeriJaa",
Sun Apr 08 16:37:42 +0000 2018,NeerajK905627,"RT @DassiShivani:            
 . #SalmanGetsBail      
#MIvCSK    ",
Sun Apr 08 16:37:43 +0000 2018,Sathish01804283,"RT @vikatan: IPL 2018:        

Full Updates: https://t.co/wbV8MPm0OA

#IPL2018 #MIvCSK https",
Sun Apr 08 16:37:49 +0000 2018,NeerajK905627,"RT @shudhama:            
 . #SalmanGetsBail      
#MIvCSK     http",
Sun Apr 08 16:37:51 +0000 2018,GuddiMeena9,"RT @Doreemon3: #MIvCSK
# 
   16  23  24               ",
Sun Apr 08 16:38:01 +0000 2018,darling8686,RT @ChennaiIPL: He's back! M S Dhoni (C) is back! #Thala #WhistlePodu #CSK #Yellove #MIvCSK https://t.co/UbvCfAUa0J,
Sun Apr 08 16:38:19 +0000 2018,iSachinDeshwal,               #KKRvRCB #KXIPvDD #MIvCSK https://t.co/c8fGW0H2xX,New Delhi
Sun Apr 08 16:38:22 +0000 2018,GuddiMeena9,"RT @Sarvgya1: #MIvCSK
#
,     ,  
    ,  
Must watch : Sadhna T",
Sun Apr 08 16:38:23 +0000 2018,VYadav203,"RT @RavidasPatil:  
 4    
      
   

    

   ",
